experience_years,age,education_level,working_hours,performance_score,projects_completed,salary
14,24,3,47,7,14,124578
20,22,4,51,5,4,120772
14,23,3,47,9,16,118059
24,41,2,36,2,6,117185
3,26,1,38,5,5,59941
10,38,3,36,2,14,100204
18,25,2,46,2,19,118837
14,29,1,53,9,13,122456
3,40,4,52,7,9,87047
20,48,1,44,4,5,98517
12,46,1,39,8,9,103371
21,38,1,45,4,19,118669
18,39,4,35,1,8,108561
1,23,3,37,10,12,98616
13,29,3,51,3,13,103249
3,51,1,49,10,0,72910
15,37,2,48,1,0,77559
20,43,2,49,2,18,124859
19,54,1,50,2,8,99200
13,25,1,38,7,4,85588
14,35,2,53,4,16,108248
2,23,1,42,10,15,90244
7,39,1,40,9,11,97055
15,48,3,50,2,4,93680
9,23,3,37,9,5,106748
3,24,1,42,6,19,78082
17,44,1,39,10,10,126962
1,51,4,39,8,18,105839
16,31,3,46,7,5,110186
12,21,1,35,8,9,98261
3,29,4,41,9,14,100080
24,37,4,45,8,17,152966
10,21,4,44,6,6,108230
6,23,4,37,8,2,100856
11,46,3,42,8,15,124322
9,51,4,35,2,12,93677
6,46,3,42,2,16,76851
12,43,4,54,1,3,92454
6,50,4,45,10,18,122484
23,30,2,41,2,3,109107
16,28,3,50,7,11,113880
9,45,2,41,3,3,75902
9,42,2,47,4,16,95174
23,35,4,44,4,17,131650
3,30,3,51,4,5,71292
19,40,1,37,2,18,112698
3,43,4,41,6,4,89655
21,21,3,45,1,1,95889
6,22,2,47,5,10,84476
21,39,3,39,2,12,112642
0,34,4,53,9,4,73541
11,28,3,49,2,7,88677
23,32,2,35,6,10,132039
12,46,3,39,4,3,90306
9,47,3,47,6,17,99741
14,49,2,44,2,14,101779
12,35,4,39,2,4,88443
22,21,1,35,7,11,132945
21,48,2,44,3,3,113450
21,23,2,52,3,3,106936
20,38,4,42,7,19,142973
21,54,4,54,8,8,126493
8,52,3,37,7,8,95171
8,49,2,53,3,13,74647
14,45,3,53,3,7,97047
9,46,3,36,7,0,97632
23,28,4,51,3,10,128792
24,39,4,50,2,3,111888
9,42,3,44,7,16,104748
7,49,2,50,3,16,91086
23,53,2,39,5,18,135422
15,23,3,54,7,12,109109
16,39,1,37,2,18,110148
4,30,1,37,8,16,91448
3,47,4,36,2,19,86514
17,35,2,38,4,11,113766
23,31,3,52,4,19,135345
18,46,3,36,8,13,123139
3,44,2,40,1,8,62820
6,33,4,37,9,11,108334
9,52,4,37,6,16,113769
24,24,1,36,4,15,130301
17,33,2,37,6,11,123495
18,29,2,51,6,9,105337
3,54,3,48,9,1,86875
9,27,2,41,4,2,67082
0,21,1,40,8,4,66019
22,32,2,42,1,15,107533
17,41,3,53,6,12,123306
4,31,1,53,5,17,70555
14,34,3,46,3,1,85084
16,54,2,39,4,0,96573
2,54,4,39,8,8,86577
11,45,2,48,10,17,114056
1,24,2,51,2,4,60541
0,46,3,50,8,2,66674
22,36,4,38,7,4,125658
20,30,2,42,1,11,111328
16,22,1,37,2,7,94607
21,39,1,39,7,7,111578
15,26,3,41,3,6,104760
4,39,3,52,2,1,68163
14,28,4,42,1,0,90595
2,34,3,45,7,0,62699
6,30,4,48,3,7,90869
10,23,2,52,6,16,110035
9,49,1,47,10,4,97644
8,35,1,40,8,13,102381
13,43,1,47,6,7,90074
12,43,3,35,7,19,123528
24,38,3,45,6,17,150812
24,39,2,41,7,6,118890
1,48,3,44,5,13,83513
2,46,4,36,9,13,95498
6,30,1,50,3,5,58579
20,24,2,39,6,2,111419
17,22,4,50,9,13,136816
2,23,4,50,1,13,63799
9,27,3,49,5,2,83867
21,36,3,43,4,9,126909
6,51,1,35,9,8,95049
8,30,2,43,1,6,69020
16,39,4,45,4,6,109449
10,48,3,39,1,6,70240
6,37,3,40,3,11,90675
23,48,2,42,4,3,121728
13,39,2,49,1,19,100796
18,43,3,50,5,12,110278
3,40,3,52,6,2,72902
5,33,1,46,1,19,79019
9,33,2,38,10,8,93550
6,31,4,50,10,19,126779
12,35,3,45,4,12,111373
13,37,3,41,4,0,88021
3,48,3,49,1,5,62746
7,39,3,51,2,19,92027
4,24,1,49,10,7,80025
0,42,2,44,5,16,71899
3,42,3,38,2,17,78111
2,54,2,51,3,3,59300
8,53,4,38,9,11,113510
7,53,4,45,5,15,98470
0,32,4,38,1,17,68681
5,22,4,46,5,9,91021
8,48,2,44,3,3,64427
6,30,4,48,1,1,63311
3,42,4,52,3,14,88618
12,37,3,40,6,8,101411
16,46,3,39,10,14,122488
1,23,3,36,5,4,67604
4,27,1,47,1,18,72462
11,28,3,48,2,2,88103
20,40,4,37,5,16,130416
7,32,2,45,9,12,107535
5,37,4,38,5,2,88585
7,48,2,47,5,3,77935
17,30,4,42,1,17,108560
2,42,1,42,5,2,57834
21,53,3,47,8,13,137590
11,42,4,44,9,15,118162
2,33,3,47,10,11,84154
21,47,1,47,3,10,104953
5,35,1,51,4,1,64805
1,42,3,40,7,0,65912
22,50,3,36,7,12,137962
11,54,2,51,1,17,98531
1,54,3,46,6,17,88726
5,39,3,40,9,12,98365
16,28,2,39,5,3,95486
2,53,4,39,8,0,69012
1,48,2,43,10,14,84005
22,45,4,37,9,16,159823
19,37,4,54,10,5,124197
7,44,4,39,10,4,94366
21,41,2,41,3,0,102078
11,22,2,46,1,15,85414
3,51,1,41,2,13,58774
4,53,4,44,5,4,71873
12,50,2,42,10,2,111996
14,32,1,51,7,2,87213
24,32,4,39,6,11,132250
22,44,2,49,4,17,119552
15,44,2,43,9,8,111789
9,31,2,45,4,16,94723
24,33,3,47,3,16,138838
22,47,1,52,5,19,131123
15,28,2,51,4,17,111240
11,30,3,43,2,2,73989
16,28,1,44,3,17,94573
15,40,1,39,7,14,109916
11,28,3,45,2,0,75754
7,29,1,49,1,2,55410
19,27,3,36,2,6,112532
2,34,4,54,8,9,94189
15,48,2,48,8,8,106935
12,22,3,39,10,8,121765
22,28,1,40,2,7,114352
18,33,1,49,6,5,105961
7,41,4,38,7,0,97167
21,48,4,44,1,15,130316
4,43,4,53,7,9,86745
19,35,4,43,8,10,125359
7,22,4,44,9,11,101619
23,32,2,38,8,2,124766
11,23,3,38,3,5,83890
0,25,4,40,8,7,72948
24,23,4,42,3,12,143358
20,39,2,50,6,18,119766
19,22,3,42,4,7,122796
5,37,4,50,7,12,99852
21,34,3,40,8,3,133884
17,48,3,51,10,2,113070
7,47,2,35,6,19,98139
6,30,2,53,10,2,96973
0,23,4,52,4,11,67821
20,45,1,51,8,4,107201
15,42,2,51,7,5,100966
11,50,3,46,10,17,128193
5,41,3,46,8,19,100472
19,50,4,40,10,13,146126
1,48,4,41,7,4,68842
13,51,4,42,3,10,103031
3,46,3,37,3,8,72876
0,42,2,51,9,16,84959
22,41,1,42,7,11,134122
17,21,2,45,1,0,86437
12,33,1,54,3,0,82324
1,41,2,52,1,3,40860
8,29,4,50,6,17,108821
20,37,3,47,2,16,124665
1,41,1,43,7,11,67473
24,51,2,53,8,19,151266
8,42,3,41,6,11,105285
0,32,1,51,5,4,62212
10,26,1,42,10,0,86310
2,36,3,42,4,18,78080
19,46,4,37,9,6,135566
22,25,3,50,8,14,138059
3,29,4,46,5,13,95225
17,34,2,49,1,2,96518
22,50,2,38,8,4,131797
5,46,3,41,8,5,81036
2,49,4,45,7,10,94142
21,39,2,39,7,18,142041
10,28,4,47,8,1,104030
14,43,4,45,1,11,105193
21,51,4,39,3,13,124530
4,52,3,42,4,8,76159
19,25,4,51,6,19,145541
9,36,3,45,10,15,107310
11,37,2,53,10,16,125440
14,52,2,52,9,16,125369
16,52,1,44,4,1,92551
9,40,1,39,6,9,88649
5,22,2,35,9,10,101390
17,40,4,51,9,2,128524
12,38,4,51,6,1,102836
2,21,2,35,5,3,69334
23,49,2,35,3,7,112812
9,49,1,43,5,18,101636
13,39,4,38,3,19,118260
5,26,2,43,5,17,80474
2,28,1,48,10,0,79684
15,44,1,49,10,1,100647
6,40,4,50,1,7,73301
19,34,1,50,6,9,118760
13,25,1,47,7,18,100434
8,54,3,48,2,6,81386
14,36,2,43,3,16,107064
20,27,4,43,10,2,135130
2,36,2,38,9,14,80530
1,27,3,44,8,3,70355
1,47,4,37,4,16,77553
2,34,2,43,8,10,89108
17,34,1,53,8,5,98302
13,53,4,50,6,16,110611
19,53,3,50,1,9,111415
17,40,1,51,2,0,92951
9,27,3,52,4,17,96921
24,52,1,44,4,13,121127
1,23,2,53,2,18,74247
24,49,2,49,9,17,150106
21,44,2,49,2,0,100572
0,42,3,45,6,0,57332
3,26,4,42,5,8,86240
13,44,2,50,4,13,108499
0,43,3,44,6,2,59059
13,30,1,43,4,11,95493
15,36,2,49,9,16,126968
21,31,1,39,10,16,127098
13,52,2,54,7,1,95550
19,26,1,36,3,5,99086
2,44,3,50,10,0,85290
2,53,2,52,4,11,76193
8,32,3,50,1,3,61615
5,47,3,39,6,15,87874
24,38,1,35,2,19,120313
12,33,2,53,4,10,101960
20,50,4,44,5,19,141050
1,33,4,47,8,19,94474
7,54,3,45,3,9,86767
20,50,1,49,6,7,110971
1,45,1,36,1,1,43205
3,22,1,40,9,7,69207
24,38,2,45,1,0,102850
14,25,2,49,2,6,82732
3,39,1,43,1,13,58206
12,38,4,46,8,3,103513
11,52,4,38,4,16,103474
12,41,2,48,2,1,80012
13,30,1,37,7,1,85914
19,42,4,51,8,7,119953
17,33,4,47,9,6,120342
5,37,2,42,5,7,82363
10,29,2,46,3,19,101849
1,44,4,46,1,16,81369
22,34,1,46,8,16,132968
18,28,4,36,6,6,118166
18,39,4,44,5,4,121411
4,48,1,43,7,14,91160
18,50,2,35,5,1,109802
1,27,1,38,4,10,61212
9,46,1,48,5,16,101400
24,31,1,50,7,12,122384
1,34,1,52,6,3,68948
10,41,2,36,10,17,115342
17,28,4,40,10,13,131823
23,23,3,37,9,18,143445
14,48,2,54,10,2,104000
8,49,1,53,2,3,56060
22,43,4,47,7,8,133113
18,38,4,51,1,13,104808
8,33,1,48,8,16,91995
2,32,2,45,4,1,50708
20,25,1,50,8,13,116267
8,31,4,45,8,15,116962
13,31,4,52,4,18,115788
18,51,2,36,4,15,118580
6,51,3,42,5,10,89908
15,33,1,48,7,13,109212
15,34,3,36,6,6,110374
0,45,4,47,1,4,54477
3,53,3,44,6,7,88696
3,53,1,42,3,16,70832
6,35,1,41,9,13,86909
7,36,4,47,3,9,77665
16,26,2,53,9,11,116111
4,45,2,49,5,4,62021
6,35,4,36,10,7,110056
19,24,1,39,8,11,123784
19,24,2,53,9,3,111721
3,50,3,35,9,12,87542
5,54,4,41,7,16,108241
6,47,3,52,10,4,101785
17,51,1,35,1,5,85303
4,52,2,35,8,8,73926
19,29,1,41,7,4,101227
2,28,3,51,4,1,66727
6,34,1,40,6,2,78892
21,53,1,54,10,10,121464
13,43,4,46,2,9,93759
6,41,4,54,4,2,87538
4,32,1,49,8,8,70681
21,22,4,47,4,7,125592
4,33,1,46,10,15,89281
22,24,3,36,4,1,105275
1,40,4,52,4,9,69328
20,34,1,38,10,13,124801
21,50,4,44,9,4,140455
5,49,1,45,2,0,57992
14,28,4,40,7,12,121770
20,32,2,40,3,3,93856
9,46,1,43,4,8,73397
22,22,2,54,1,15,124540
23,34,1,47,3,18,125930
6,26,2,39,2,13,66640
4,51,1,40,10,19,101175
0,37,4,38,7,7,82577
12,45,2,40,6,9,91659
20,52,4,52,1,19,118262
17,32,1,47,8,0,93537
12,33,4,37,9,19,130411
20,39,1,44,1,4,84474
20,45,4,38,5,14,138547
17,51,2,49,7,7,115447
4,45,1,46,2,9,67959
12,36,4,49,6,5,96518
3,43,1,44,8,14,87483
16,34,1,46,8,14,114491
2,26,1,42,10,9,73853
16,45,3,37,10,18,145454
10,43,1,41,8,3,94562
20,32,4,52,6,5,127499
19,33,3,37,6,14,133199
22,54,4,49,3,5,124738
20,26,3,36,2,17,126229
3,28,1,49,5,10,60757
1,28,2,47,9,11,79335
19,53,2,54,4,7,100872
15,54,1,44,5,13,98141
17,35,3,42,6,3,102088
7,42,4,50,6,17,110348
2,43,2,50,4,5,54524
8,42,1,36,4,5,69487
19,25,1,43,8,18,130745
5,51,3,42,5,1,76113
9,33,2,45,5,3,76939
20,48,1,35,9,4,112472
9,40,2,45,4,14,81681
12,53,4,52,7,2,95204
16,36,1,49,5,15,116371
8,49,1,43,9,12,91618
16,43,4,43,8,11,127891
23,44,1,35,8,8,118742
8,54,3,41,10,10,113407
8,27,4,46,10,7,114176
0,24,3,44,3,6,51552
1,54,4,53,9,3,86082
15,42,4,50,8,1,103470
0,25,3,40,3,18,79368
9,43,4,45,10,11,116773
17,35,2,53,1,2,96031
7,51,3,53,5,18,106105
20,29,4,52,4,2,104418
10,45,3,49,8,18,116367
22,45,4,50,6,18,137941
1,41,4,48,10,6,93157
7,29,2,42,5,13,90031
21,42,2,42,9,3,115002
7,43,2,36,6,5,89824
16,24,4,40,3,13,120519
14,49,2,47,6,7,92606
16,35,3,47,4,17,111480
22,21,4,46,5,14,143348
23,50,3,36,6,18,139052
12,49,2,54,9,17,119349
18,40,4,46,3,14,122157
4,53,3,51,1,11,74725
11,42,1,40,2,17,96495
0,33,3,41,8,4,66959
22,27,4,40,4,14,125295
4,28,1,38,7,8,81719
7,48,2,43,2,7,64319
12,29,2,39,10,7,110319
7,45,3,44,8,2,86584
24,36,2,49,10,12,134808
22,30,3,42,9,12,148146
10,31,3,38,7,11,97640
0,51,3,39,10,14,95045
12,32,3,41,1,13,100741
18,51,4,40,2,0,102557
23,34,4,47,9,1,137443
2,52,1,53,10,3,71491
23,37,1,44,7,12,137035
16,21,2,49,3,9,91591
4,49,4,37,5,12,93371
19,24,1,52,1,0,77889
20,43,4,48,10,10,140054
7,48,4,37,3,17,99662
13,36,2,45,4,8,91682
3,32,2,44,4,5,55790
10,41,3,51,7,12,109150
19,37,4,47,5,4,123984
14,33,3,36,9,9,122795
18,52,3,47,7,4,113232
6,35,3,53,2,9,86350
18,32,4,39,8,4,124296
18,35,4,50,2,19,115546
10,54,3,44,7,10,101870
4,26,4,46,5,4,81971
4,37,3,54,10,4,84807
21,40,1,47,6,16,125144
7,29,4,50,4,4,74643
9,25,2,35,5,0,83398
5,43,2,43,5,12,88312
14,53,3,50,7,3,106239
15,34,1,53,4,7,93244
16,37,4,49,5,19,132469
7,39,3,52,4,5,86990
7,53,1,46,4,14,77083
24,21,1,48,8,14,145544
8,33,4,37,5,15,107472
1,47,2,38,9,8,69589
14,26,2,40,5,4,97154
17,26,1,50,8,15,120914
2,53,2,47,3,6,59348
16,50,1,46,7,2,97965
3,43,1,46,1,9,48995
3,30,1,36,5,15,66177
13,39,2,47,2,11,97287
8,48,3,37,8,8,94411
8,43,2,47,6,15,97553
24,24,3,36,5,8,123001
22,40,2,53,3,6,116398
17,39,4,43,1,10,116326
9,47,4,54,10,16,112254
20,54,2,35,10,9,129794
3,24,4,47,10,14,111846
11,27,4,36,10,9,125107
7,27,4,49,8,1,92168
1,46,4,53,5,15,84107
21,46,3,50,9,6,132884
12,39,1,45,7,14,106618
20,29,3,49,1,16,121881
15,40,1,40,1,12,98289
1,36,1,48,7,18,82964
10,37,2,40,7,7,87263
9,42,2,53,9,8,91112
14,33,2,39,2,18,102622
16,32,2,45,7,16,114509
7,30,2,38,2,9,71947
17,21,3,43,10,13,136328
22,52,3,43,10,11,145332
8,50,4,51,2,19,92671
24,28,3,42,5,6,130634
7,41,3,49,9,8,95849
13,42,2,43,9,17,126150
24,38,4,39,10,6,155201
17,22,3,38,1,3,85743
21,29,3,54,7,7,126895
19,23,4,52,10,17,138853
19,46,1,43,10,14,136592
20,41,2,37,3,6,100629
11,50,3,43,10,7,106866
18,48,3,43,10,0,121629
13,46,4,38,1,10,92034
16,54,3,41,2,9,95338
23,28,2,41,6,4,116318
20,30,3,42,10,1,125950
2,34,1,35,2,1,42517
22,35,2,43,2,18,120022
6,37,1,46,4,15,85358
16,38,4,40,3,10,104539
11,52,2,47,8,13,99966
8,43,3,39,8,4,88078
14,43,2,53,6,3,105530
17,35,2,35,4,18,124601
20,44,2,52,7,9,126716
12,48,1,42,9,8,109783
20,36,4,42,2,17,116791
7,36,2,49,6,4,73598
13,26,3,53,7,16,120902
7,22,2,44,1,17,75453
13,33,2,50,6,0,95018
6,29,4,45,8,13,110186
22,54,3,46,7,13,138832
11,37,3,50,2,13,87243
10,47,1,50,2,0,74943
21,49,3,54,4,3,118467
21,42,3,37,5,6,115772
10,44,3,43,5,11,105679
24,27,2,42,2,12,116294
21,54,1,44,7,14,119988
12,32,3,47,8,19,120764
17,43,3,52,2,1,89277
1,35,3,47,4,13,82682
20,53,2,47,3,11,107990
14,33,2,49,4,12,101876
19,43,1,47,5,13,122522
17,52,4,50,6,2,112255
14,21,1,42,2,12,96833
18,25,2,53,10,7,125902
22,33,3,44,6,15,139948
23,25,3,46,9,5,131679
11,52,1,48,8,10,106558
12,41,3,40,1,14,86391
21,44,2,43,9,18,135444
10,38,1,41,10,1,98317
4,41,4,40,2,10,73956
0,30,2,35,1,19,75036
23,44,2,48,6,19,145151
2,41,3,40,1,8,71792
21,45,2,46,6,3,109659
18,43,2,51,2,16,102973
22,42,4,39,7,7,127257
6,24,3,45,7,15,108613
11,54,2,39,4,0,72665
14,26,3,46,2,9,88309
24,48,2,37,7,6,130461
4,51,4,43,1,14,89694
14,43,3,40,2,0,92549
7,26,3,36,2,15,89867
9,36,4,36,1,1,70226
15,22,1,46,9,2,103533
7,44,2,42,6,14,86303
0,37,2,36,3,17,60814
11,21,1,43,6,14,96867
4,26,3,50,7,3,89137
2,25,3,49,3,2,62651
0,49,4,48,4,6,65889
3,32,4,54,10,19,108554
7,23,4,38,1,18,84849
2,21,1,38,6,7,69242
9,47,1,45,6,6,76557
1,44,3,52,9,3,78487
10,39,4,39,2,9,91534
24,28,3,36,5,9,125203
9,22,1,49,5,14,86972
20,50,2,45,7,17,139612
13,50,3,51,5,9,102817
6,52,1,50,10,8,87638
1,21,4,49,4,8,67555
8,33,2,37,10,15,109367
15,31,2,54,2,16,106770
12,30,2,49,8,15,121021
8,46,4,53,5,5,83024
19,40,2,47,4,4,97281
3,37,1,50,9,6,68005
21,37,3,46,2,12,111001
9,24,2,51,3,7,76914
21,25,2,50,8,0,121891
11,43,1,43,4,9,80984
16,30,4,40,9,19,133774
13,48,2,53,10,19,122415
13,53,1,47,10,0,90466
24,46,1,42,10,19,148888
1,49,4,46,10,13,91320
20,47,4,43,9,14,151283
24,38,3,38,10,5,136077
19,30,2,47,9,19,142376
10,25,3,36,1,1,68844
15,30,1,37,6,6,97562
18,41,2,39,10,19,134004
22,44,1,52,6,18,122802
5,23,1,48,8,4,75004
23,51,1,36,7,7,113762
18,22,4,49,7,2,123134
4,22,4,42,2,12,82694
3,54,2,50,4,5,68716
14,40,1,37,1,13,80576
3,53,1,54,7,6,75990
19,24,2,54,4,10,114831
9,31,3,39,9,8,111137
23,25,1,38,6,9,117586
21,45,4,46,6,19,137093
2,54,3,53,9,16,94874
4,29,3,49,8,7,95444
5,26,3,47,6,5,82230
20,38,3,39,6,10,126584
21,34,3,46,6,2,125234
7,39,3,53,4,5,79103
6,34,2,36,5,16,95937
20,37,2,41,3,6,98679
9,49,3,39,9,5,94598
5,37,4,54,2,12,76980
13,28,2,45,7,13,116582
3,21,2,52,1,18,79831
24,27,3,52,10,7,135373
12,25,4,41,7,12,122807
19,44,3,44,2,19,112355
16,48,4,54,5,8,123514
22,37,4,48,1,4,120831
6,40,1,54,5,10,81945
3,23,2,54,4,6,75904
13,46,3,45,1,5,84325
2,35,2,36,1,11,58882
23,28,2,47,7,11,141093
4,33,4,47,3,5,82185
15,23,2,43,10,3,101441
22,21,1,51,9,12,130988
19,29,3,49,9,11,140393
3,51,2,50,10,14,91003
23,46,3,44,9,7,144860
23,37,2,54,1,12,108928
1,54,3,46,4,10,80078
17,29,3,39,1,10,96550
18,33,3,54,1,10,111381
18,25,2,51,9,18,129016
16,33,1,44,5,16,112860
13,21,3,40,1,0,79182
18,45,4,54,3,12,113506
21,24,4,40,7,19,155165
23,30,4,46,2,8,127220
12,48,1,53,4,10,90552
11,26,3,36,2,8,95223
5,47,1,47,9,16,99529
20,32,3,54,9,6,119709
3,23,1,45,7,7,62493
18,53,3,49,7,1,117448
15,30,4,47,2,13,109819
12,51,3,37,10,9,117659
3,35,1,48,8,8,78351
22,27,3,42,1,0,112386
16,34,2,43,8,11,115206
22,34,3,49,5,13,137088
0,23,4,52,4,18,83384
17,23,3,42,10,10,124383
19,42,2,45,2,8,96922
16,39,2,39,3,16,105954
14,32,2,49,10,19,123213
10,25,1,49,2,5,81226
24,30,2,41,4,5,124776
21,53,1,52,3,19,119524
12,33,2,46,5,9,92365
0,52,1,46,7,9,59000
16,31,2,38,9,16,130572
5,44,2,45,5,13,81981
3,39,3,40,8,4,84959
19,26,2,44,2,2,101429
15,24,3,49,6,10,108590
14,53,2,35,8,18,125245
14,33,2,51,9,19,132844
5,39,3,37,4,18,93038
14,32,3,45,4,13,101562
13,31,1,52,7,14,102821
10,26,4,44,4,2,88994
6,32,3,43,5,2,74283
8,47,1,41,2,8,67912
15,45,2,45,2,10,93525
4,23,3,42,10,14,107648
24,23,3,36,5,16,141579
19,40,2,39,10,11,123952
9,48,2,43,10,16,117187
17,43,2,35,2,8,102092
2,23,2,51,6,12,87114
12,44,4,44,6,7,103027
10,26,3,42,8,5,96977
16,40,2,52,1,6,87579
21,31,2,44,7,0,116275
12,52,4,43,7,9,105625
5,47,3,38,9,14,104235
16,41,1,36,4,13,110928
12,33,3,53,7,3,104398
18,42,1,44,6,3,110099
20,42,4,51,4,8,113704
18,48,2,37,10,14,127389
9,41,4,53,8,11,102346
2,38,3,53,3,8,59429
13,51,2,53,8,2,92010
18,41,3,53,5,14,117167
4,34,1,49,4,10,60137
4,45,3,52,3,5,76077
19,47,4,51,10,14,147361
16,43,4,44,7,6,113245
20,51,4,48,7,18,137842
9,49,2,53,6,13,105126
4,50,3,52,3,3,58386
3,46,2,45,9,0,67049
5,40,3,45,2,12,87530
3,39,1,46,3,10,59165
6,47,3,42,1,17,79172
6,45,3,50,7,8,91259
17,43,3,42,2,10,115492
2,49,3,48,10,5,91159
0,35,1,52,8,15,85452
23,23,2,38,9,4,121637
24,30,4,51,2,0,107816
3,35,3,47,6,13,86446
5,36,4,39,1,18,78902
8,37,4,37,8,5,91810
21,39,4,43,5,11,131884
13,31,4,54,9,6,125005
11,25,3,52,3,9,88729
24,25,4,54,2,9,130661
19,34,3,53,7,12,128922
23,46,1,53,7,6,111427
24,28,2,50,10,18,154226
3,25,2,35,5,0,57377
20,27,3,39,7,14,130849
23,36,3,49,6,13,137188
11,34,2,46,9,12,110939
9,24,4,35,3,6,82872
21,37,3,48,4,11,120594
6,26,4,52,9,7,93052
2,36,3,52,10,14,98942
22,49,3,40,8,16,149210
13,30,1,35,10,11,109223
23,49,1,51,6,12,128363
9,34,2,52,3,7,71304
15,24,1,49,9,9,103811
15,33,1,46,9,6,107260
21,38,2,47,6,1,118612
9,53,4,54,2,15,95559
24,41,1,36,7,3,127920
12,36,4,38,9,5,103740
5,35,2,37,9,6,86198
11,25,3,53,3,18,96516
8,26,4,42,2,3,71357
12,23,2,46,5,9,87056
3,32,4,46,10,3,97252
23,53,2,44,7,19,149059
10,53,2,35,3,4,77424
19,51,3,39,4,13,124392
17,41,4,54,10,10,139215
10,47,3,45,2,1,73740
24,47,3,43,10,8,142716
20,28,4,48,2,11,128420
3,52,4,37,7,0,87188
17,46,2,39,2,14,102272
0,22,4,43,1,5,64318
6,32,2,52,4,16,80042
5,42,2,40,6,14,87529
14,37,2,41,10,13,115383
17,27,2,50,10,18,133761
23,24,2,42,4,8,110148
10,52,2,44,1,2,72705
19,31,4,39,1,14,119060
23,21,4,45,9,16,152852
14,45,1,47,1,1,78283
15,44,4,54,7,3,117608
6,37,3,36,7,13,102285
20,28,1,48,1,10,102308
9,47,4,43,1,11,86473
11,38,3,44,6,15,107863
23,47,4,44,8,11,145577
13,42,2,44,7,1,87684
24,36,1,53,6,6,119127
4,22,2,45,10,2,80516
20,25,1,45,3,2,95224
17,38,1,37,7,12,111378
4,23,2,53,6,6,78355
2,47,1,35,8,4,76532
22,37,1,46,4,4,102894
4,36,4,49,9,19,105732
23,26,3,48,1,5,116202
16,27,2,37,7,12,115860
18,34,4,54,9,6,131793
18,35,4,47,10,1,116378
24,53,2,52,1,8,104511
20,47,1,50,10,18,144483
11,49,2,40,3,1,72212
24,25,3,44,7,12,141249
8,49,3,51,9,7,109459
0,52,2,51,1,15,69554
17,26,4,42,6,0,119216
20,22,2,38,2,10,101989
3,26,3,49,5,7,85038
9,24,2,35,7,19,110338
24,49,1,41,7,0,108050
6,45,2,44,10,6,90653
21,29,4,41,7,8,132786
22,23,1,35,4,1,93531
0,46,3,51,6,18,89900
16,47,2,46,10,5,110356
23,52,4,51,6,4,123119
1,21,4,49,7,12,82442
10,36,3,50,9,9,111327
8,31,2,48,6,0,72868
6,46,4,37,10,17,113524
21,21,1,53,1,13,102722
16,46,2,46,8,11,113783
16,48,3,53,2,5,99487
1,29,1,52,3,13,65055
5,42,2,48,5,16,94242
13,28,4,54,6,6,97993
5,47,3,43,7,2,76716
1,39,3,37,4,16,77184
0,45,2,46,3,9,67345
9,41,3,54,9,2,87408
20,44,1,51,4,15,116481
4,44,2,39,9,5,77879
1,39,1,42,9,3,75877
21,22,3,53,3,19,130110
15,34,3,38,3,8,108190
24,52,3,49,8,6,143882
1,52,1,53,1,15,64212
9,48,3,49,6,5,85358
1,33,2,48,6,11,83191
15,32,4,50,9,2,107640
15,28,2,44,2,11,92305
18,35,4,48,8,19,133234
6,46,3,54,7,13,92142
21,32,2,45,2,13,119698
11,47,1,36,1,8,82805
23,38,4,53,4,3,113275
14,47,1,37,2,19,99317
7,29,4,38,3,14,96954
5,21,3,45,2,6,70212
9,27,2,47,9,19,117939
2,46,4,52,4,18,81071
18,27,2,52,1,5,101823
16,27,4,53,8,18,125808
6,28,4,46,4,6,88105
20,36,3,35,10,0,115247
19,23,4,40,8,6,121594
3,30,1,37,8,2,70866
13,27,4,51,9,5,106289
19,41,4,37,10,5,127580
21,51,4,35,7,10,143630
14,43,3,37,4,1,102145
23,47,2,38,2,5,100617
7,42,2,40,6,17,105253
20,47,3,41,4,13,131838
14,24,1,42,6,11,100432
21,44,1,47,8,8,124650
19,43,3,38,3,12,120763
13,39,2,40,1,19,94086
8,23,1,45,5,0,66320
7,47,3,35,3,7,89486
16,23,2,42,6,8,114281
1,48,1,36,3,16,64889
24,37,1,42,1,12,113436
23,51,3,54,9,3,134493
2,30,2,43,5,5,70698
7,42,1,38,2,12,65563
11,50,3,51,2,16,106399
0,41,1,41,9,18,81559
9,43,2,44,1,7,67458
19,32,4,39,10,16,145805
2,45,1,44,3,16,70704
5,40,2,46,10,14,109112
6,27,1,54,7,0,62004
19,49,4,40,1,1,94293
22,49,4,35,2,19,142954
24,33,1,37,6,9,119617
17,23,3,41,9,15,138271
10,22,1,45,9,3,85663
18,36,2,46,8,7,127186
4,50,3,43,3,15,91124
18,26,2,35,2,6,101271
10,27,2,38,1,4,71913
23,25,3,36,9,7,141660
11,27,4,36,5,2,94812
9,54,2,51,3,2,71994
7,52,1,36,10,17,99070
23,33,4,38,10,3,150667
8,50,4,45,5,3,88307
3,45,3,53,3,14,76284
4,41,1,47,9,14,90601
20,41,1,52,1,3,92101
7,48,4,53,1,1,66442
22,40,2,49,3,2,107328
8,54,2,46,6,9,94458
14,25,1,45,2,0,79744
14,38,4,35,1,17,99902
15,31,4,50,8,4,107936
13,37,4,47,10,8,113909
7,42,3,40,9,19,110758
17,40,1,40,10,5,120551
9,26,1,44,1,18,74921
19,54,2,36,3,8,100045
